السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,سعر التأمين,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
60000.0,هونداي سانتافيه,2007,فضي ,2000.0,6+1 ,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2390,1,0,1,1,1,1,1,1
72000.0,فولكسفاجن بولو,2016,أحمر ,1200.0,4+1 ,80000 ,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2295,1,1,1,0,0,1,1,1
35000.0,فولكسفاجن باسات,2002,زيتي ,1600.0,4+1 ,225000 ,خامسة ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1170,1,0,0,0,1,1,1,1
37000.0,سكودا اوكتافيا,2003,أبيض ,1900.0,4+1 ,,2 ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,1,1,1,0,1,1,1,1
28000.0,اوبل استرا,2001,أزرق ,1600.0,4+1 ,,5 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1170,1,0,1,1,1,1,1,1
80000.0,فولكسفاجن كادي,2013,بني ,1600.0,6+1 ,80000 ,2 ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2740,1,0,1,0,1,1,1,1
24000.0,اوبل استرا,1998,زيتي ,1600.0,4+1 ,00000000 ,يد رابعه ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1170,1,1,1,0,1,1,1,1
58000.0,كيا سورينتو,2009,أسود ,2500.0,6+1 ,149000 ,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2705,1,1,1,1,1,1,1,1
37000.0,كيا سيراتو,2006,أبيض ,1600.0,4+1 ,17000 ,****** ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,0,1,0,1,1,1,1
58000.0,هونداي اكسنت,2013,سكني ,1600.0,4+1 ,89000 ,يد ثانية ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2355,1,0,0,0,1,1,1,0
75000.0,مرسيدس C200,2010,أبيض عاجي ,2200.0,4+1 ,٢٠٠٠٠ ,٨ ,عمومي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3003,1,1,1,0,1,1,1,1
100000.0,سكودا سوبيرب,2011,أسود ,2000.0,4+1 ,183000 ,1 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3090,1,1,1,1,1,1,1,1
25000.0,بيجو 405,1996,أبيض ,1600.0,4+1 ,0000000 ,4 ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1170,1,1,1,0,1,1,1,1
113000.0,بي ام دبليو 320,2014,سكني ,2000.0,4+1 ,٧٩ الف  ,يد ٣ ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3318,1,1,1,1,1,1,1,1
30000.0,فولكسفاجن جولف,2000,أبيض عاجي ,1900.0,4+1 ,,4 ,تدريب سياقة ,فلسطينية ,ديزل ,عادي ,الكتروني ,1170,1,0,1,0,1,0,1,1
105000.0,اودي A4,2012,أبيض ,1800.0,4+1 ,120000 ,يد اولى ,خصوصي ,فلسطينية ,بنزين ,نصف اوتوماتيك ,الكتروني ,3178,1,1,1,1,1,1,1,1
45000.0,رينو كليو,2012,أبيض عاجي ,1600.0,4+1 ,13000 ,0 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,0,1,0,1,0,1,1
85000.0,سكودا اوكتافيا,2016,سكني ,1600.0,,٥٥ ,١ ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2828,1,0,1,0,1,1,1,1
119000.0,هونداي سانتافيه,2015,أبيض عاجي ,2000.0,6+1 ,77000 ,1 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3423,1,1,1,1,1,1,1,1
46000.0,هونداي i30,2008,فضي ,1600.0,,133000 ,٦ ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,1,1,1,1,1,1
12000.0,اوبل اسكونا,1983,أسود ,1300.0,4+1 ,000000 ,رابعة ,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,1017,1,1,1,0,1,0,0,0
40000.0,بي ام دبليو 525,1997,أخضر ,2500.0,4+1 ,,2 ,حكومي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1345,1,1,1,1,1,1,1,1
12000.0,سوبارو عريض,1987,أبيض ,1600.0,4+1 ,,,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1170,0,0,1,0,1,0,1,0
40000.0,فولكسفاجن باسات,2005,فضي ,1900.0,4+1 ,٠٠٠٠٠٠ ,٥ ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2340,1,1,1,0,1,1,1,0
32000.0,فورد فوكس,2009,فضي ,1600.0,4+1 ,١٦٥ ,٣ ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2340,1,0,1,0,1,1,1,1
63000.0,فولكسفاجن بولو,2017,أزرق ,1200.0,4+1 ,82000 ,صفر ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2138,1,0,1,0,1,1,1,0
75000.0,بيجو 2008,2015,أسود ,1600.0,4+1 ,90000 ,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2653,1,1,1,1,1,1,1,1
87000.0,فولكسفاجن تيجوان,2011,رمادي ,2000.0,4+1 ,130000 ,1 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2863,1,1,1,0,1,1,1,0
105000.0,هونداي i40,2011,سكني ,2000.0,4+1 ,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3178,1,1,1,1,1,1,1,1
43000.0,كيا برايد,2007,سكني ,1600.0,4+1 ,١٥٠٠٠٠ ,٥ ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,1,0,1,1,1,1
55000.0,فولكسفاجن جيتا,2007,أسود ميتالك ,1900.0,4+1 ,300000 ,3 ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,1,1,1,0,1,1,1,1
35400.0,مرسيدس 914,1997,أبيض ,3500.0,2+1 ,٦٤٨٩٠٠٧٥ ,3 ,تجاري ,فلسطينية ,ديزل ,عادي ,يدوي ,1345,1,1,1,1,1,1,1,1
42000.0,فيات باندا,2015,أبيض عاجي ,1242.0,4+1 ,82000 ,يد ثانيا ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,0,0,1,1,1,1
43000.0,سكودا فابيا,2011,فضي ,1400.0,4+1 ,,٢ ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,1,1,1,1,1,1,0
44000.0,هونداي توسان,2007,زيتي ,2000.0,4+1 ,17990 ,3 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2340,1,1,1,1,1,1,1,1
22000.0,بيجو 206,2005,فيراني ,1400.0,4+1 ,,٣ ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,يدوي ,2035,1,0,1,0,1,1,1,1
60000.0,هونداي توسان,2007,سكني ,2000.0,4+1 ,,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2390,0,1,1,1,1,1,1,1
31000.0,سكودا فابيا,2003,أبيض ,1900.0,,0000000 ,,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,0,0,1,0,0,1,0,0
47500.0,ميتسوبيشي لانسر,2010,كحلي ,1800.0,4+1 ,90000 ,يد أولئ  ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,1,1,1,1,1,1
55000.0,فولكسفاجن بولو,2014,أسود ميتالك ,1200.0,4+1 ,90000 ,2 ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,1,0,1,1,1,1
35000.0,مرسيدس 250,1994,أسود ميتالك ,2500.0,4+1 ,,,عمومي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1345,0,1,1,0,1,0,0,0
95000.0,سيت ليون,2018,أزرق ,1400.0,4+1 ,32 الف ,يد اولى ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2698,0,0,0,0,0,0,0,0
100000.0,كيا فورتي,2010,أسود ,1600.0,,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3090,1,1,1,1,1,1,1,1
82000.0,فولكسفاجن باسات,2011,ذهبي ,2000.0,4+1 ,165000 ,يد اولى ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2775,1,0,1,0,1,1,1,1
280000.0,فولفو FH 12,2011,أبيض ,460.0,1+1 ,385000 ,يد ثانيه ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,5836,1,1,1,1,1,1,1,1
5200.0,فيات 127,1983,أبيض ,1000.0,4+1 ,٩٩٩٩٩٩ ,,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,967,0,0,0,0,0,0,0,0
150000.0,مرسيدس C180,2015,أبيض عاجي ,1600.0,4+1 ,٨٣٠٠٠ ,يد ثالثة ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,3966,1,0,1,0,1,1,1,1
43000.0,كيا برايد,2008,أسود ميتالك ,1600.0,4+1 ,103000 ,2 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,0,1,0,1,1,1,0
23000.0,هونداي H100,2001,أبيض ,2500.0,7+1 ,,يداولى ,خصوصي ,فلسطينية ,ديزل ,عادي ,يدوي ,1345,0,0,0,0,0,0,0,0
48000.0,اوبل كورسا,2012,أزرق ,1400.0,4+1 ,٩٠ ,٣ ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2035,1,1,1,0,1,1,1,0
