,السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
860,56000.0,سيت ابيزا,2013,أسود ,1400.0,5.0,65000.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,0,1,1,1,0
861,37500.0,اوبل كورسا,2003,سكني ,1200.0,5.0,190000.0,5.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
863,40000.0,كيا ريو,2008,أبيض ,1500.0,5.0,0.0,3.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
864,180000.0,مرسيدس 1524,2012,أبيض ,240.0,3.0,300000.0,1.0,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
865,45000.0,شفروليه كروز,2010,أحمر ,1600.0,5.0,65000.0,2.0,تأجير ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,1,1,1,1,1
866,45000.0,اوبل استرا,2006,رمادي ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,0,1,1,0
867,19000.0,فولكسفاجن جيتا,1985,عدة الوان ,1300.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,1,0,0,0
868,59000.0,فولكسفاجن GTI,2006,أسود ,1900.0,5.0,139000.0,3.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
869,50000.0,مرسيدس 300,1996,رصاصي ,3200.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
870,46000.0,كيا بيكانتو,2016,بيج ,1000.0,5.0,31000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,1
871,42000.0,مرسيدس ١٩٩٩,1999,برتقالي ,2500.0,8.0,65000.0,4.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,0,0,0,0
872,38500.0,فولكسفاجن جولف,1997,بنفسجي ,1800.0,5.0,150000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,1,1,1,1,1
873,34000.0,بيجو 307,2006,أزرق ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,0
874,36000.0,اوبل كورسا,2003,أبيض ,1400.0,5.0,130000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
875,78000.0,هونداي توسان,2009,أبيض ,2000.0,5.0,166000.0,3.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,0
876,83000.0,كيا اوبتيما,2013,رمادي ,1999.0,4.0,78000.0,1.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,0,1,1,1
